symbol,volatility
ADANIENT,0.028708518050787092
ADANIPORTS,0.026010609522439
BEL,0.02386933516824936
TRENT,0.02325090348163134
ONGC,0.02242863832359215
BPCL,0.022213824060521848
SHRIRAMFIN,0.021843087229386896
COALINDIA,0.021423906561803686
HINDALCO,0.019765140988045063
NTPC,0.019595409523183605
