date,symbol,cumulative_return
2023-11-07,BAJAJ-AUTO,0.08024599069062721
2023-11-07,BEL,-0.008261494252873258
2023-11-07,BHARTIARTL,0.012806657300334923
2023-11-07,M&M,-0.0374983738779765
2023-11-07,TRENT,0.17721334563644353
2023-11-08,BAJAJ-AUTO,0.07598002571539575
2023-11-08,BEL,0.00862068965517282
2023-11-08,BHARTIARTL,0.012374365070787707
2023-11-08,M&M,-0.0325224404839346
2023-11-08,TRENT,0.191224321305425
2023-11-09,BAJAJ-AUTO,0.0802260562748549
2023-11-09,BEL,-0.008979885057470938
2023-11-09,BHARTIARTL,0.0076191505457687825
2023-11-09,M&M,0.009529075061791792
2023-11-09,TRENT,0.2034626778689721
2023-11-10,BAJAJ-AUTO,0.0748736656400435
2023-11-10,BEL,-0.0028735632183902737
2023-11-10,BHARTIARTL,0.01102345185345266
2023-11-10,M&M,-0.008650969168727318
2023-11-10,TRENT,0.20895051235976903
2023-11-13,BAJAJ-AUTO,0.08148192446849789
2023-11-13,BEL,0.03017241379310409
2023-11-13,BHARTIARTL,0.01048308656651864
2023-11-13,M&M,0.001853779107583442
2023-11-13,TRENT,0.2428002525375168
2023-11-15,BAJAJ-AUTO,0.10370879805440025
2023-11-15,BEL,0.027658045977012158
2023-11-15,BHARTIARTL,0.02669404517453766
2023-11-15,M&M,0.004390529465330362
2023-11-15,TRENT,0.23993492302462283
2023-11-16,BAJAJ-AUTO,0.10653948509403977
2023-11-16,BEL,0.024425287356322434
2023-11-16,BHARTIARTL,0.026207716416297044
2023-11-16,M&M,0.020879406790684785
2023-11-16,TRENT,0.23583118838327444
2023-11-17,BAJAJ-AUTO,0.12260662420636015
2023-11-17,BEL,0.04956896551724199
2023-11-17,BHARTIARTL,0.02377607262509418
2023-11-17,M&M,0.030668661376348716
2023-11-17,TRENT,0.2512262639017049
2023-11-20,BAJAJ-AUTO,0.12632439274785856
2023-11-20,BEL,0.033405172413793593
2023-11-20,BHARTIARTL,0.03901437371663197
2023-11-20,M&M,0.009626642383243622
2023-11-20,TRENT,0.27373609829537204
2023-11-21,BAJAJ-AUTO,0.13346091359427392
2023-11-21,BEL,0.026221264367816577
2023-11-21,BHARTIARTL,0.04922727763968382
2023-11-21,M&M,0.014537530896317596
2023-11-21,TRENT,0.2693652566655338
2023-11-22,BAJAJ-AUTO,0.14653789034077813
2023-11-22,BEL,0.01903735632183956
2023-11-22,BHARTIARTL,0.04803847400842898
2023-11-22,M&M,0.003935215298555228
2023-11-22,TRENT,0.27587295420329294
2023-11-23,BAJAJ-AUTO,0.18116397053693256
2023-11-23,BEL,0.0010775862068970188
2023-11-23,BHARTIARTL,0.055495514968117776
2023-11-23,M&M,0.0054962924417838455
2023-11-23,TRENT,0.28942256325579163
